Município,Etapa,Componente Curricular,Ano,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,Não Alfabetizado,Alfabetização Incompleta,Muito Crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,Alunos Previstos,Alunos Efetivos,Percentual de Participação,Taxa de Participação,Proficiência Padronizada,N° de Alunos no Não Alfabetizado,N° de Alunos no Alfabetização Incompleta,N° de Alunos Muito Crítico,N° de Alunos no Crítico,N° de Alunos no Intermediário,N° de Alunos no Adequado,N° de Alunos no Suficiente,N° de Alunos no Desejável,Média CREDE
ITAITINGA,2° Ano,Língua Portuguesa,2022,186.6,58,Desejável,0.7,5,0,0,11,0,13.3,69.9,679,697,102.7,1,9.33,5,35,0,0,77,0,93,487,173.14
MARACANAU,2° Ano,Língua Portuguesa,2022,169.6,53.5,Desejável,2.1,6,0,0,14.3,0,15.6,61.9,2774,2861,103.1,1,8.48,61,173,0,0,408,0,447,1772,173.14
MARANGUAPE,2° Ano,Língua Portuguesa,2022,167.7,53.8,Desejável,1.5,8.5,0,0,13.4,0,18.1,58.5,1188,1210,101.9,1,8.39,18,103,0,0,162,0,219,708,173.14
PACATUBA,2° Ano,Língua Portuguesa,2022,157,52.3,Desejável,2.7,10.5,0,0,18.5,0,17.1,51.2,886,920,103.8,1,7.85,25,97,0,0,170,0,157,471,173.14
AQUIRAZ,5° Ano,Matemática,2022,216,48.8,Intermediário,0,0,10,27,37,26,0,0,1100,1136,103,1,5.81,0,0,112,307,418,299,0,0,219.13
CAUCAIA,5° Ano,Matemática,2022,201,45.9,Intermediário,0,0,14,37,34,15,0,0,4289,4352,101,1,5.04,0,0,605,1613,1485,649,0,0,219.13
EUSEBIO,5° Ano,Matemática,2022,267,45.7,Adequado,0,0,1,6,28,65,0,0,701,728,104,1,8.37,0,0,10,42,205,471,0,0,219.13
GUAIUBA,5° Ano,Matemática,2022,214,47.2,Intermediário,0,0,10,28,39,23,0,0,360,363,101,1,5.7,0,0,37,100,141,85,0,0,219.13
ITAITINGA,5° Ano,Matemática,2022,220,46.8,Intermediário,0,0,8,27,39,26,0,0,692,711,103,1,5.99,0,0,55,191,278,187,0,0,219.13
MARACANAU,5° Ano,Matemática,2022,218,47.5,Intermediário,0,0,8,27,40,25,0,0,2450,2525,103,1,5.92,0,0,202,683,1001,639,0,0,219.13
MARANGUAPE,5° Ano,Matemática,2022,209,43.3,Intermediário,0,0,9,33,41,17,0,0,1195,1224,102,1,5.43,0,0,112,401,507,204,0,0,219.13
PACATUBA,5° Ano,Matemática,2022,208,46.8,Intermediário,0,0,11,33,37,19,0,0,802,831,104,1,5.42,0,0,89,273,311,158,0,0,219.13
AQUIRAZ,9° Ano,Língua Portuguesa,2022,250,50.2,Crítico,0,0,18,29,35,17,0,0,1124,1106,98,984,4991,0,0,203,324,387,192,0,0,257.25
CAUCAIA,9° Ano,Língua Portuguesa,2022,249,50.5,Crítico,0,0,18,31,34,16,0,0,3804,3748,99,0.9853,4942,0,0,687,1158,1290,613,0,0,257.25
EUSEBIO,9° Ano,Língua Portuguesa,2022,278,45.1,Intermediário,0,0,5,22,38,35,0,0,1087,1112,102,1,6.3898,0,0,52,248,422,390,0,0,257.25
GUAIUBA,9° Ano,Língua Portuguesa,2022,253,50.7,Intermediário,0,0,15,35,30,20,0,0,342,339,99,0.9912,5.1567,0,0,51,117,103,68,0,0,257.25
ITAITINGA,9° Ano,Língua Portuguesa,2022,257,50.3,Intermediário,0,0,15,27,37,21,0,0,833,842,101,1,5.3589,0,0,126,231,310,175,0,0,257.25
MARACANAU,9° Ano,Língua Portuguesa,2022,256,49.1,Intermediário,0,0,14,29,36,20,0,0,3202,3243,101,1,5.3112,0,0,467,950,1178,648,0,0,257.25
MARANGUAPE,9° Ano,Língua Portuguesa,2022,259,48.5,Intermediário,0,0,12,30,35,22,0,0,1223,1219,100,0.9967,5.4336,0,0,145,371,431,272,0,0,257.25
PACATUBA,9° Ano,Língua Portuguesa,2022,256,49,Intermediário,0,0,15,27,37,21,0,0,809,820,101,1,5.3053,0,0,125,220,304,171,0,0,257.25
AQUIRAZ,5° Ano,Língua Portuguesa,2022,218.14,52.9,Intermediário,0,0,3.88,19.51,29.3,47.31,0,0,1100,1133,103,1,7.16,0,0,44,221,332,536,0,0,222.93
CAUCAIA,5° Ano,Língua Portuguesa,2022,207.52,52.5,Intermediário,0,0,5.1,24.75,31.41,38.74,0,0,4289,4352,101.47,1,6.63,0,0,222,1077,1367,1686,0,0,222.93
EUSEBIO,5° Ano,Língua Portuguesa,2022,252.65,46.9,Adequado,0,0,0.69,5.22,20.6,73.49,0,0,701,728,103.85,1,8.88,0,0,5,38,150,535,0,0,222.93
GUAIUBA,5° Ano,Língua Portuguesa,2022,214.64,51.4,Intermediário,0,0,3.31,22.04,32.51,42.15,0,0,360,363,100.83,1,6.98,0,0,12,80,118,153,0,0,222.93
ITAITINGA,5° Ano,Língua Portuguesa,2022,228.66,50.2,Adequado,0,0,1.83,13.9,28.51,55.76,0,0,692,712,102.89,1,7.68,0,0,13,99,203,397,0,0,222.93
MARACANAU,5° Ano,Língua Portuguesa,2022,227.05,51.7,Adequado,0,0,2.3,16.56,26.39,54.75,0,0,2450,2524,103.02,1,7.6,0,0,58,418,666,1382,0,0,222.93
MARANGUAPE,5° Ano,Língua Portuguesa,2022,223.41,48.4,Intermediário,0,0,2.7,15.04,30.99,51.27,0,0,1195,1223,102.34,1,7.42,0,0,33,184,379,627,0,0,222.93
PACATUBA,5° Ano,Língua Portuguesa,2022,211.34,48.9,Intermediário,0,0,3.01,22.62,33.21,41.16,0,0,802,831,103.62,1,6.82,0,0,25,188,276,342,0,0,222.93
AQUIRAZ,9° Ano,Matemática,2022,244,45.8,Crítico,0,0,38,36,23,3,0,0,1124,1106,98,984,3.4477,0,0,420,396,253,37,0,0,247.75
CAUCAIA,9° Ano,Matemática,2022,235,46.2,Crítico,0,0,46,34,17,4,0,0,3804,3749,99,0.9855,2.9978,0,0,1713,1273,629,134,0,0,247.75
EUSEBIO,9° Ano,Matemática,2022,275,48.8,Crítico,0,0,17,32,37,14,0,0,1087,1112,102,1,4.9803,0,0,188,357,407,160,0,0,247.75
GUAIUBA,9° Ano,Matemática,2022,245,46.8,Crítico,0,0,37,36,20,6,0,0,342,337,99,0.9854,3.5204,0,0,125,123,69,20,0,0,247.75
ITAITINGA,9° Ano,Matemática,2022,248,47.9,Crítico,0,0,34,37,22,6,0,0,833,841,101,1,3.6535,0,0,287,314,188,52,0,0,247.75
MARACANAU,9° Ano,Matemática,2022,245,46.5,Crítico,0,0,36,37,22,5,0,0,3202,3243,101,1,3.4846,0,0,1170,1199,718,156,0,0,247.75
MARANGUAPE,9° Ano,Matemática,2022,246,46,Crítico,0,0,35,39,21,5,0,0,1223,1220,100,0.9975,3.5329,0,0,433,471,259,57,0,0,247.75
PACATUBA,9° Ano,Matemática,2022,244,44.3,Crítico,0,0,36,39,22,3,0,0,809,821,101,1,3.4483,0,0,292,323,179,27,0,0,247.75
AQUIRAZ,2° Ano,Língua Portuguesa,2023,224,0,0,0,0,0,0,2,0,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
CAUCAIA,2° Ano,Língua Portuguesa,2023,187,0,0,0,1,0,0,6,0,13,80,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
EUSEBIO,2° Ano,Língua Portuguesa,2023,230,0,0,0,0,0,0,1,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
GUAIUBA,2° Ano,Língua Portuguesa,2023,191,0,0,0,1,0,0,8,0,10,82,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
ITAITINGA,2° Ano,Língua Portuguesa,2023,223,0,0,0,0,0,0,2,0,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
MARACANAU,2° Ano,Língua Portuguesa,2023,204,0,0,0,1,0,0,3,0,7,89,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
MARANGUAPE,2° Ano,Língua Portuguesa,2023,209,0,0,0,1,0,0,5,0,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
PACATUBA,2° Ano,Língua Portuguesa,2023,194,0,0,0,2,0,0,6,0,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,207.75
AQUIRAZ,5° Ano,Língua Portuguesa,2023,232,0,0,0,0,2,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
CAUCAIA,5° Ano,Língua Portuguesa,2023,208,0,0,0,0,5,24,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
EUSEBIO,5° Ano,Língua Portuguesa,2023,244,0,0,0,0,2,8,23,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
GUAIUBA,5° Ano,Língua Portuguesa,2023,212,0,0,0,0,7,20,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
ITAITINGA,5° Ano,Língua Portuguesa,2023,228,0,0,0,0,2,15,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
MARACANAU,5° Ano,Língua Portuguesa,2023,233,0,0,0,0,2,13,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
MARANGUAPE,5° Ano,Língua Portuguesa,2023,222,0,0,0,0,3,16,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
PACATUBA,5° Ano,Língua Portuguesa,2023,214,0,0,0,0,3,22,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.13
AQUIRAZ,5° Ano,Matemática,2023,227,0,0,0,0,4,28,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
CAUCAIA,5° Ano,Matemática,2023,206,0,0,0,0,10,39,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
EUSEBIO,5° Ano,Matemática,2023,257,0,0,0,0,2,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
GUAIUBA,5° Ano,Matemática,2023,214,0,0,0,0,8,34,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
ITAITINGA,5° Ano,Matemática,2023,236,0,0,0,0,3,22,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
MARACANAU,5° Ano,Matemática,2023,228,0,0,0,0,5,27,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
MARANGUAPE,5° Ano,Matemática,2023,214,0,0,0,0,6,34,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
PACATUBA,5° Ano,Matemática,2023,218,0,0,0,0,6,32,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.6
AQUIRAZ,9° Ano,Língua Portuguesa,2023,250,0,0,0,0,19,29,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
CAUCAIA,9° Ano,Língua Portuguesa,2023,249,0,0,0,0,21,31,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
EUSEBIO,9° Ano,Língua Portuguesa,2023,278,0,0,0,0,10,20,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
GUAIUBA,9° Ano,Língua Portuguesa,2023,253,0,0,0,0,17,28,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
ITAITINGA,9° Ano,Língua Portuguesa,2023,257,0,0,0,0,18,27,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
MARACANAU,9° Ano,Língua Portuguesa,2023,256,0,0,0,0,15,26,38,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
MARANGUAPE,9° Ano,Língua Portuguesa,2023,259,0,0,0,0,16,26,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
PACATUBA,9° Ano,Língua Portuguesa,2023,256,0,0,0,0,16,27,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.25
AQUIRAZ,9° Ano,Matemática,2023,243,0,0,0,0,38,40,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
CAUCAIA,9° Ano,Matemática,2023,236,0,0,0,0,45,36,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
EUSEBIO,9° Ano,Matemática,2023,269,0,0,0,0,24,27,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
GUAIUBA,9° Ano,Matemática,2023,243,0,0,0,0,40,33,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
ITAITINGA,9° Ano,Matemática,2023,247,0,0,0,0,35,37,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
MARACANAU,9° Ano,Matemática,2023,244,0,0,0,0,40,36,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
MARANGUAPE,9° Ano,Matemática,2023,247,0,0,0,0,36,38,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
PACATUBA,9° Ano,Matemática,2023,241,0,0,0,0,40,38,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25
